date,t1,t2,t1_rating,t2_rating,rating_difference,t1_rating_change,t2_rating_change,t1_win
2014-12-16 20:30:00+01:00,KFC B-DAY,Girls Generation,1000.0,1000.0,0.0,0,0,0
2014-12-16 20:30:00+01:00,Hyphen,Jesuss Christ,1000.0,1000.0,0.0,0,0,0
2014-12-16 22:00:00+01:00,Jesuss Christ,Girls Generation,1000.0,1000.0,0.0,0,0,1
2014-12-18 00:00:00+01:00,Ascendancy,Adapt,1008.0,997.0,11.0,7,-7,1
2014-12-20 22:00:00+01:00,myXMG Female,NorthernGrade,968.0,1000.0,-32.0,3,-3,1
2014-12-21 20:45:00+01:00,Zbrilo,Quit,1000.0,1000.0,0.0,-5,5,0
2014-12-22 23:15:00+01:00,London Conspiracy Female,Team3V,1000.0,1000.0,0.0,3,-3,1
2014-12-23 18:30:00+01:00,Moscow 5,Check6,1000.0,1000.0,0.0,5,-5,1
2014-12-23 20:30:00+01:00,MnM,Shazandals,1000.0,1000.0,0.0,0,0,0
2014-12-23 20:30:00+01:00,OHYEA,420BlazeIT,991.0,1000.0,-9.0,0,0,0
2014-12-23 22:00:00+01:00,Shazandals,420BlazeIT,1000.0,1000.0,0.0,0,0,0
2014-12-26 18:00:00+01:00,Check6,Zbrilo,995.0,995.0,0.0,5,-5,1
2014-12-31 04:15:00+01:00,Adapt,The Stream Team,990.0,993.0,-3.0,8,-8,1
2015-01-02 21:15:00+01:00,myRevenge,aimface,1015.0,1011.0,4.0,0,0,1
2015-01-04 15:00:00+01:00,myRevenge,aimface,1015.0,1011.0,4.0,0,0,0
2015-01-05 18:00:00+01:00,Quit,Check6,1000.0,1000.0,0.0,-5,5,0
2015-01-06 00:00:00+01:00,Playing Ducks Female,NorthernGrade,1000.0,997.0,3.0,-3,3,0
2015-01-07 04:00:00+01:00,Adapt,iBUYPOWER,998.0,1216.0,-218.0,-3,2,0
2015-01-08 20:00:00+01:00,Bad Monkey Gaming Female,3DMAX Female,978.0,1052.0,-74.0,3,-3,1
2015-01-08 20:00:00+01:00,Playing Ducks Female,Mousecontrol Female,997.0,1000.0,-3.0,-2,2,0
2015-01-10 09:30:00+01:00,Comeback,dAT team,1000.0,894.0,106.0,-23,14,0
2015-01-10 16:00:00+01:00,97club,Comeback,989.0,977.0,12.0,-18,18,0
2015-01-12 20:15:00+01:00,Playing Ducks Female,myXMG Female,995.0,971.0,24.0,-3,3,0
2015-01-15 20:00:00+01:00,Team ALTERNATE Female,London Conspiracy Female,981.0,1003.0,-22.0,3,-3,1
2015-01-15 20:00:00+01:00,myXMG Female,Mousecontrol Female,974.0,1002.0,-28.0,3,-3,1
2015-01-18 21:00:00+01:00,Madjick Gaming,Bad Monkey Gaming Female,1000.0,981.0,19.0,-3,3,0
2015-01-19 20:00:00+01:00,Mousecontrol Female,NorthernGrade,999.0,1000.0,-1.0,3,-3,1
2015-01-19 20:00:00+01:00,Moscow 5,Quit,1005.0,995.0,10.0,5,-5,1
2015-01-19 21:00:00+01:00,Pay Attention,Imaginary Gaming Female,1000.0,1003.0,-3.0,3,-3,1
2015-01-20 17:00:00+01:00,Never Give Up Female,London Conspiracy Female,1000.0,1000.0,0.0,-3,3,0
2015-01-22 03:30:00+01:00,OK2STRONG,Mayhem,992.0,986.0,6.0,-8,8,0
2015-01-25 20:00:00+01:00,Imaginary Gaming Female,PENTA Female,1000.0,995.0,5.0,2,-2,1
2015-01-26 21:00:00+01:00,Never Give Up Female,Team ALTERNATE Female,997.0,984.0,13.0,-3,3,0
2015-01-27 20:00:00+01:00,PENTA Female,Pay Attention,993.0,1005.0,-12.0,-2,2,0
2015-01-27 20:15:00+01:00,eXeS eSport,lanlaget,1005.0,1006.0,-1.0,-5,5,0
2015-01-29 18:00:00+01:00,Exgaming,Moscow 5,1000.0,1010.0,-10.0,5,-5,1
2015-01-29 20:00:00+01:00,PENTA Female,Games4u.se Female,991.0,995.0,-4.0,3,-3,1
2015-02-01 20:00:00+01:00,Quit,dAT team,990.0,976.0,14.0,-5,3,0
2015-02-01 20:00:00+01:00,Madjick Gaming,3DMAX Female,997.0,1048.0,-51.0,-2,2,0
2015-02-04 03:00:00+01:00,Mayhem,Ascendancy,1016.0,1008.0,8.0,7,-7,1
2015-02-04 19:00:00+01:00,Violetdreams,Team Winner,1000.0,1000.0,0.0,5,-5,1
2015-02-05 20:00:00+01:00,Bad Monkey Gaming Female,NorthernGrade,987.0,997.0,-10.0,5,-5,1
2015-02-08 13:00:00+01:00,BZSX,webSPELL,994.0,986.0,8.0,-5,5,0
2015-02-08 13:00:00+01:00,34united,fm!TOXiC,980.0,995.0,-15.0,-5,5,0
2015-02-08 18:00:00+01:00,Team ALTERNATE Female,Imaginary Gaming Female,987.0,1002.0,-15.0,-5,5,0
2015-02-08 18:15:00+01:00,fm!TOXiC,puta,1010.0,1010.0,0.0,-5,5,0
2015-02-09 21:00:00+01:00,Pay Attention,London Conspiracy Female,1007.0,1003.0,4.0,5,-5,1
2015-02-11 21:00:00+01:00,AWAKE.CS,Wyvern eSports,995.0,995.0,0.0,5,-5,1
2015-02-12 04:00:00+01:00,Mayhem,The Stream Team,1012.0,973.0,39.0,-8,8,0
2015-02-13 20:00:00+01:00,EZPZ_LS,SAIDERc,1000.0,995.0,5.0,-5,5,0
2015-02-16 03:00:00+01:00,Ascendancy,The Stream Team,1007.0,974.0,33.0,7,-7,1
2015-02-22 00:00:00+01:00,Team ALTERNATE Female,NorthernGrade,982.0,992.0,-10.0,5,-5,1
2015-02-22 21:00:00+01:00,UNLEASHED,Vination eSports,1009.0,1002.0,7.0,5,-5,1
2015-02-26 21:00:00+01:00,myXMG,UNLEASHED,919.0,1019.0,-100.0,-2,4,0
2015-02-27 16:00:00+01:00,Divine,Check6,1000.0,1003.0,-3.0,-5,5,0
2015-03-01 17:00:00+01:00,USSR,Wrecking Gaming,895.0,966.0,-71.0,-2,4,0
2015-03-02 20:00:00+01:00,myXMG Female,3DMAX Female,977.0,1050.0,-73.0,6,-6,1
